model,Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
M2_utama_2022,workday:near,0.04696142888886677,0.09835763222463614,0.47745587024312386,0.6333971807391277,-0.14662388879808508,0.24054674657581865
M2_13ruas_jan_5jun,workday:near,-0.025005623863481447,0.1405717263891479,-0.17788515874278882,0.8590921984191007,-0.3031302273310285,0.25311897960406565
M2_25ruas_6jun_des,workday:near,0.12351973614478494,0.14010513151751997,0.8816217850617338,0.37930386583348996,-0.15317410665229786,0.40021357894186776
M2_placebo_jam_malam,workday:near,-0.25030308349054625,0.2620195722152569,-0.9552839178170812,0.3404503355180508,-0.766604662258372,0.2659984952772794
